region,unique_id,population,men,women,b_00_14,b_15_24,b_25_44,b_45_64,b_65_oo,unmarried,married,divorced,widowed
Appingedam,GM0003,11721,5720,6001,1718,1238,2376,3491,2898,4981,4874,1048,818
Delfzijl,GM0010,24716,12408,12308,3498,2625,4856,7552,6185,10364,10501,2063,1788
Groningen,GM0014,231299,114937,116362,28822,50342,67886,50900,33349,150951,55871,16234,8243
Loppersum,GM0024,9614,4881,4733,1447,1052,1893,3099,2123,4187,4212,708,507
Almere,GM0034,207904,103082,104822,39067,26989,57771,60643,23434,108536,74912,18746,5710
Stadskanaal,GM0037,31789,15730,16059,4531,3488,6326,9514,7930,12890,13863,2602,2434
Veendam,GM0047,27491,13685,13806,4128,3045,5769,8376,6173,11687,11551,2455,1798
Zeewolde,GM0050,22309,11392,10917,3983,3094,5372,7006,2854,10302,9618,1706,683
Achtkarspelen,GM0059,27852,14167,13685,4936,3360,6190,7908,5458,12607,11868,1809,1568
Ameland,GM0060,3673,1819,1854,585,381,848,1031,828,1677,1568,216,212
Harlingen,GM0072,15758,7924,7834,2420,1755,3079,4625,3879,6929,6337,1496,996
Heerenveen,GM0074,50257,24984,25273,8091,5757,10952,14659,10798,23085,20042,4154,2976
Leeuwarden,GM0080,123107,61127,61980,18656,18126,31596,32115,22614,66383,40519,10498,5707
Ooststellingwerf,GM0085,25497,12800,12697,3786,2721,5166,7812,6012,10834,10983,2083,1597
Opsterland,GM0086,29723,14950,14773,4787,3526,5958,9163,6289,13203,12833,2036,1651
Schiermonnikoog,GM0088,936,488,448,103,83,191,300,259,397,390,89,60
Smallingerland,GM0090,55938,27876,28062,9137,6633,12627,15814,11727,25810,22487,4549,3092
Terschelling,GM0093,4890,2551,2339,582,773,1016,1392,1127,2366,1819,413,292
Vlieland,GM0096,1138,581,557,121,156,271,378,212,573,423,92,50
Weststellingwerf,GM0098,25840,12865,12975,3932,2828,5309,7719,6052,11077,11196,1890,1677
Assen,GM0106,67963,33643,34320,11136,7943,15645,19763,13476,31986,26262,6238,3477
Coevorden,GM0109,35483,17703,17780,5246,3919,6931,10946,8441,14643,15948,2533,2359
Emmen,GM0114,107113,53289,53824,15735,12206,22917,32107,24148,46281,44678,9112,7042
Hoogeveen,GM0118,55662,27871,27791,9376,6465,12927,15105,11789,24793,23364,4170,3335
Meppel,GM0119,33564,16376,17188,5654,3835,7951,9482,6642,15297,13643,2867,1757
Almelo,GM0141,72849,36421,36428,11747,8931,17347,20653,14171,33820,28669,6240,4120
Borne,GM0147,23210,11561,11649,4065,2484,5237,6436,4988,10012,10449,1441,1308
Dalfsen,GM0148,28499,14395,14104,4885,3508,5786,8433,5887,12420,13361,1221,1497
Deventer,GM0150,99957,49430,50527,16364,12280,25323,28109,17881,49491,37411,8148,4907
Enschede,GM0153,158986,81148,77838,23818,24864,41286,40962,28056,83391,54382,13065,8148
Haaksbergen,GM0158,24277,12149,12128,3694,2786,4694,7343,5760,10498,10762,1427,1590
Hardenberg,GM0160,60574,30725,29849,10689,7774,13715,17267,11129,27394,26824,3228,3128
Hellendoorn,GM0163,35808,17885,17923,5897,4140,7759,10236,7776,15287,16413,1952,2156
Hengelo,GM0164,80683,40469,40214,12390,9827,19358,22994,16114,38260,31628,6416,4379
Kampen,GM0166,53779,26890,26889,10508,6937,13588,13712,9034,24370,24020,2993,2396
Losser,GM0168,22622,11416,11206,3416,2579,4524,6831,5272,9514,10347,1399,1362
Noordoostpolder,GM0171,46849,23727,23122,8688,5666,11316,13003,8176,21527,20192,3077,2053
Oldenzaal,GM0173,31840,15788,16052,5204,3533,6797,9063,7243,14103,13458,2289,1990
Ommen,GM0175,17813,9002,8811,2957,2023,3723,5202,3908,7709,8081,1039,984
Raalte,GM0177,37511,18853,18658,5913,4428,7593,11505,8072,16718,16769,1923,2101
Staphorst,GM0180,17003,8743,8260,3830,2540,3911,4133,2589,7947,7908,455,693
Tubbergen,GM0183,21276,10868,10408,3494,3044,4336,6377,4025,9629,9630,775,1242
Urk,GM0184,20776,10520,10256,5884,3447,5486,3993,1966,10436,9313,373,654
Wierden,GM0189,24351,12155,12196,4235,2922,5301,6811,5082,10302,11599,1063,1387
Zwolle,GM0193,127497,62794,64703,22674,16340,36063,32575,19845,67482,45413,9475,5127
Aalten,GM0197,27011,13559,13452,4294,3030,5415,8308,5964,11993,11825,1503,1690
Apeldoorn,GM0200,162445,80880,81565,25557,18750,37490,46952,33696,73833,66445,13522,8645
Arnhem,GM0202,159267,79574,79693,25198,21175,46693,42081,24120,90347,48140,14527,6253
Barneveld,GM0203,57971,28917,29054,12428,7976,13728,14352,9487,26243,26562,2587,2579
Beuningen,GM0209,25882,12924,12958,3907,2976,5574,8471,4954,11296,11413,1917,1256
Brummen,GM0213,20698,10248,10450,2807,2315,3893,6490,5193,8238,9757,1394,1309
Buren,GM0214,26576,13318,13258,4181,3063,5469,8568,5295,11088,12368,1709,1411
Culemborg,GM0216,28555,14147,14408,4807,3444,6502,8656,5146,13306,11556,2320,1373
Doesburg,GM0221,11148,5458,5690,1442,1256,2052,3598,2800,4427,4885,1137,699
Doetinchem,GM0222,57555,28558,28997,8927,6682,12931,17083,11932,26606,23236,4571,3142
Druten,GM0225,18797,9373,9424,2937,2236,4110,5943,3571,8617,7968,1321,891
Duiven,GM0226,25332,12516,12816,3792,3242,5070,8576,4652,10640,11437,2030,1225
Ede,GM0228,115710,57175,58535,20778,15647,27651,30597,21037,52694,50231,7320,5465
Elburg,GM0230,23086,11516,11570,4291,2841,5225,6224,4505,9577,11124,1271,1114
Epe,GM0232,33145,16489,16656,4891,3740,6508,9761,8245,13194,15573,2231,2147
Ermelo,GM0233,26858,13337,13521,4132,3274,5533,7698,6221,11414,12038,1905,1501
Harderwijk,GM0243,47581,23510,24071,8523,5587,11823,13003,8645,21383,20182,3727,2289
Hattem,GM0244,12173,6052,6121,2127,1382,2520,3443,2701,4979,5824,674,696
Heerde,GM0246,18546,9149,9397,2994,2023,3672,5522,4335,7083,9331,1013,1119
Heumen,GM0252,16486,8179,8307,2414,1947,2945,5264,3916,6949,7397,1222,918
Lochem,GM0262,33590,16568,17022,4726,3451,5617,10499,9297,13360,15685,2240,2305
Maasdriel,GM0263,24693,12537,12156,3970,2841,5591,7679,4612,11041,10686,1614,1352
Nijkerk,GM0267,42943,21387,21556,7939,5211,9933,11865,7995,18559,19724,2600,2060
Nijmegen,GM0268,176731,85582,91149,24235,31372,50501,42798,27825,106856,48906,14200,6769
Oldebroek,GM0269,23598,11864,11734,4310,2891,5383,6652,4362,9642,11789,995,1172
Putten,GM0273,24198,11992,12206,4207,3024,5286,6711,4970,9849,11660,1357,1332
Renkum,GM0274,31300,15292,16008,4498,2896,5496,9710,8700,13051,13387,2716,2146
Rheden,GM0275,43640,21325,22315,6141,4748,8785,12605,11361,18901,17632,3919,3188
Rozendaal,GM0277,1654,815,839,300,172,238,522,422,657,846,65,86
Scherpenzeel,GM0279,9873,4890,4983,1941,1289,2333,2446,1864,4348,4523,487,515
Tiel,GM0281,41978,20914,21064,6584,5433,10322,12204,7435,19467,16875,3602,2034
Voorst,GM0285,24417,12184,12233,3823,2712,4654,7520,5708,10628,11004,1378,1407
Wageningen,GM0289,38774,18668,20106,4827,8744,10318,8636,6249,23150,11627,2313,1684
Westervoort,GM0293,14944,7351,7593,2236,1591,3380,4855,2882,6341,6445,1407,751
Winterswijk,GM0294,28903,14442,14461,4247,3383,5958,8676,6639,12729,12370,1953,1851
Wijchen,GM0296,40951,20264,20687,6357,4773,8610,12720,8491,17944,17754,3132,2121
Zaltbommel,GM0297,28451,14335,14116,5233,3765,6536,7811,5106,12853,12545,1730,1323
Zevenaar,GM0299,43488,21425,22063,6313,4590,9250,12912,10423,18316,18866,3535,2771
Zutphen,GM0301,47609,23365,24244,7329,5520,10161,14356,10243,22068,18283,4801,2457
Nunspeet,GM0302,27481,13599,13882,5043,3498,6017,7354,5569,11521,12974,1493,1493
Dronten,GM0303,40815,20469,20346,6848,5536,9345,11820,7266,18045,18117,2926,1727
Amersfoort,GM0307,156286,77037,79249,28919,18740,41680,43969,22978,79232,58444,12550,6060
Baarn,GM0308,24767,11985,12782,3933,2468,5204,7387,5775,11412,9579,2219,1557
De Bilt,GM0310,42825,20559,22266,7215,4603,8260,12553,10194,19620,17129,3313,2763
Bunnik,GM0312,15192,7518,7674,2742,1603,3010,4473,3364,6885,6614,886,807
Bunschoten,GM0313,21576,10764,10812,4187,2812,5647,5409,3521,9095,10593,1008,880
Eemnes,GM0317,9113,4501,4612,1477,1108,1767,2912,1849,4054,3862,812,385
Houten,GM0321,49911,24570,25341,9770,5904,11419,15676,7142,23802,21191,3128,1790
Leusden,GM0327,30030,14723,15307,5001,3308,6164,9109,6448,12826,13462,2218,1524
Lopik,GM0331,14473,7336,7137,2460,2089,3088,4379,2457,6755,6294,803,621
Montfoort,GM0335,13996,7029,6967,2480,1813,3043,3977,2683,6531,6046,834,585
Renswoude,GM0339,5259,2625,2634,1133,689,1319,1317,801,2368,2458,237,196
Rhenen,GM0340,20004,9944,10060,3543,2395,4322,5524,4220,8661,9003,1246,1094
Soest,GM0342,46194,22552,23642,7507,5273,9523,13502,10389,20359,19412,3751,2672
Utrecht,GM0344,352866,172857,180009,60061,53781,127867,74570,36587,228270,93956,20938,9702
Veenendaal,GM0345,65589,32351,33238,12130,8292,16212,17259,11696,29175,28801,4488,3125
Woudenberg,GM0351,13166,6614,6552,2597,1641,2979,3489,2460,5803,6006,696,661
Wijk bij Duurstede,GM0352,23762,11725,12037,3862,2786,4882,7643,4589,10281,10607,1793,1081
IJsselstein,GM0353,34160,16596,17564,5914,4299,7619,10412,5916,16064,13783,2810,1503
Zeist,GM0355,63933,31091,32842,11250,7607,14444,17301,13331,31703,23718,5123,3389
Nieuwegein,GM0356,63036,31308,31728,9689,6859,16302,17605,12581,29447,25391,5407,2791
Aalsmeer,GM0358,31728,15694,16034,5722,3679,7073,9424,5830,15052,13060,2097,1519
Alkmaar,GM0361,108558,53695,54863,16940,11838,27921,30944,20915,53624,39474,10373,5087
Amstelveen,GM0362,90837,43650,47187,15912,10655,23629,23240,17401,45244,34661,6438,4494
Amsterdam,GM0363,862965,427787,435178,125602,108487,311068,209828,107980,555066,210221,74090,23588
Beemster,GM0370,9748,4849,4899,1630,1098,2132,2930,1958,4524,4173,580,471
Bergen (NH.),GM0373,29974,14467,15507,3611,3221,4219,9349,9574,12113,12916,2739,2206
Beverwijk,GM0375,41176,20582,20594,6579,4626,10812,11703,7456,19911,15306,3842,2117
